#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;x
#;;;;;;;;;;;x
TECH_APP_LD_9_NAME;Combined Arms Defense;Défense armées combinées;Difesa con forze armate combinate;Defensa con armamento combinado;Verteidigung mit kombinierten Waffengattungen;Wspólna obrona wojsk;;Îáùåâîéñêîâàÿ îáîðîíà;;;x
TECH_APP_LD_9_DESC;;;;;;;;;;;x
TECH_CMP_LD_9_1_NAME;Time on Target fire missions;Missions de tir HSO;Missioni di fuoco a tempo sul bersaglio;Misiones de tiro de concentración sobre el blanco;Aufträge für Vorhaltefeuer;Misje ostrza³u o zadanym czasie;;Ïëàíèðîâàíèå âåäåíèÿ îãíÿ;;;x
TECH_CMP_LD_9_2_NAME;Fire and movement;Feu et mouvement;Fuoco e movimento;Fuego y movimiento;Feuer und Bewegung;Ogieñ w czasie marszu;;Îãîíü â äâèæåíèè;;;x
TECH_CMP_LD_9_3_NAME;Tactical unit - Squad;Unité tactique - Escadron;Unità tattica - Squadra;Unidad táctica: Pelotón;Gruppe als taktische Einheit;Jednostka taktyczna-dru¿yna;;Òàêòè÷åñêàÿ åäèíèöà - îòäåëåíèå;;;x
TECH_CMP_LD_9_4_NAME;Advanced air/land coordination;Coordination aérienne / terrestre III;Cooperazione aria/terra avanzata;Coordinación avanzada aire/tierra;Fortschr. Zusammenarbeit zw. Heer und Luftwaffe;Zaawansowana koordynacja l¹dowo-powietrzna;;Óñîâåðøåíñòâîâàííîå âçàèìîäåéñòâèå ñ àâèàöèåé;;;x
TECH_CMP_LD_9_5_NAME;Integrated operations;Opérations intégrées;Operazioni integrate;Operaciones integradas;Integrierte Operationen;Wspólne operacje wojsk;;Êîìïëåêñíûå òàêòè÷åñêèå îïåðàöèè;;;x
TECH_APP_LD_10_NAME;Mechanized Offensive;Offensive mécanisée;Offensiva meccanizzata;Ofensiva mecanizada;Mechanisierte Offensive;Zmechanizowana ofensywa;;Ìåõàíèçèðîâàííîå íàñòóïëåíèå;;;x
TECH_APP_LD_10_DESC;;;;;;;;;;;x
TECH_CMP_LD_10_1_NAME;Artillery Proximity fuses;Fusée de proximité Artillerie;Spolette di artiglieria di prossimità;Espoletas de proximidad de artillería;Annäherungsartilleriezünder;Artyleryjskie zapalniki zbli¿eniowe;;Àðòèëëåðèéñêèå äèñòàíöèîííûå äåòîíàòîðû;;;x
TECH_CMP_LD_10_2_NAME;Tactical unit - Squad;Unité tactique - Escadron;Unità tattica - Squadra;Unidad táctica: Pelotón;Gruppe als taktische Einheit;Jednostka taktyczna-dru¿yna;;Òàêòè÷åñêàÿ åäèíèöà - îòäåëåíèå;;;x
TECH_CMP_LD_10_3_NAME;Air/Land mobility theory;Théorie de mobilité aérienne / terrestre;Teoria della mobilità aria/terra;Teoría de la movilidad aire/tierra;Mobilitätstheorie für Heer und Luftwaffe;Teoria mobilnoœci l¹dowo-powietrznej;;Òåîðèÿ âîçäóøíî-íàçåìíîé ìîáèëüíîñòè;;;x
TECH_CMP_LD_10_4_NAME;Advanced air/land coordination;Coordination aérienne / terrestre III;Cooperazione aria/terra avanzata;Coordinación avanzada aire/tierra;Fortschr. Zusammenarbeit zw. Heer und Luftwaffe;Zaawansowana koordynacja l¹dowo-powietrzna;;Óñîâåðøåíñòâîâàííîå âçàèìîäåéñòâèå ñ àâèàöèåé;;;x
TECH_CMP_LD_10_5_NAME;Advanced squad level tactics;Tactiques escadron III;Tattica avanzata di squadra;Tácticas de pelotón de nivel avanzado;Fortschrittliche truppenbasierte Taktiken;Zaawansowana taktyka dru¿ynowa;;Óñîâåðø. òàêòèêà íà óðîâíå îòäåëåíèé;;;x
TECH_APP_LD_11_NAME;Mass Assault Doctrine;Doctrine Assaut massif;Dottrina dell'assalto di massa;Doctrina del ataque en masa;Massenangriffsdoktrin;Doktryna zmasowanego ataku;;Ìàññèðîâàííûé øòóðì;;;x
TECH_APP_LD_11_DESC;;;;;;;;;;;x
TECH_CMP_LD_11_1_NAME;Multiple pre-planned targets;Cibles multiples programmées;Bersagli multipli pre-pianificati;Objetivos múltiples preplaneados;Mehrfache vorausgeplante Ziele;Wyznaczanie wielu celów;;Ïëàíèðîâàíèå ìíîæåñòâåííûõ öåëåé;;;x
TECH_CMP_LD_11_2_NAME;Concentrated Attack;Attaque concentrée;Attacco concentrato;Ataque concentrado;Konzentrierter Angriff;Atak skoncentrowany;;Êîíöåíòðèðîâàííàÿ àòàêà;;;x
TECH_CMP_LD_11_3_NAME;War by Timetable;Guerre par calendrier;Combattimento a scadenze temporali;Guerra con horario a rajatabla;Krieg nach Zeitplan;Kalendarz wojny na czas;;Ïëàíèðîâàíèå áîåâûõ äåéñòâèé;;;x
TECH_CMP_LD_11_4_NAME;Over-the-Top Mentality;Mentalité Monter à l’assaut;Mentalità vincente;Mentalidad de superioridad;Wir-sind-die-Besten-Mentalität;Mentalnoœæ wy¿szoœci nad przeciwnikiem;;Ïñèõîëîãèÿ ïðåâîñõîäñòâà;;;x
TECH_CMP_LD_11_5_NAME;Limited NCO initiative;Initiative s/off limitée ;Iniziativa sottufficiali limitata;Iniciativa limitada del suboficial;Eingeschränkter Unteroffizierseinsatz;Ograniczona inicjatywa podoficerów;;Îãðàíè÷åííàÿ èíèöèàòèâà ñåðæàíòñêîãî ñîñòàâà;;;x
TECH_APP_LD_12_NAME;Trench Warfare Doctrine;Doctrine guerre de tranchées;Dottrina della guerra di trincea;Doctrina de la guerra de trincheras;Grabenkriegsdoktrin;Doktryna wojny pozycyjnej;;Ïîçèöèîííàÿ âîéíà;;;x
TECH_APP_LD_12_DESC;;;;;;;;;;;x
TECH_CMP_LD_12_1_NAME;Organic divisional artillery;Artillerie divisionnelle organique;Artiglieria divisionale organica;Artillería divisionaria integral;Organische Divisionsartillerie;Naturalna artyleria dywizji;;Äèâèçèîííàÿ îðãàíèçàöèÿ àðòèëëåðèè;;;x
TECH_CMP_LD_12_2_NAME;Fast Trench-building;Construction rapide de tranchées;Creazione rapida trincee;Excavación rápida de trincheras;Schneller Grabenaushub;Szybkie okopywanie;;Áûñòðîå îêàïûâàíèå;;;x
TECH_CMP_LD_12_3_NAME;Stringent Hierarchy;Hiérarchie rigoureuse;Gerarchia rigida;Jerarquía estricta;Strikte Hierarchie;Niekwestionowana hierarchia;;Ñòðîãàÿ èåðàðõèÿ;;;x
TECH_CMP_LD_12_4_NAME;Defend-every-inch Mentality;Mentalité défense cm par cm;Mentalità di difesa a oltranza;Mentalidad de defensa de cada palmo;Jeden-Zentimeter-Verteidigen-Mentalität;Mentalnoœæ obrony za wszelk¹ cenê;;Ïñèõîëîãèÿ 'íè øàãó íàçàä';;;x
TECH_CMP_LD_12_5_NAME;Static machine gun use;Utilisation de mitrailleuse statique;Uso di mitragliatrici fisse;Uso de ametralladora fija;Statisches Maschinengewehr;U¿ycie stacjonarnych karabinów maszynowych;;Ïóëåìåòíûå ãíåçäà;;;x
TECH_APP_LD_13_NAME;Pre-planned Defense Doctrine;Doctrine de défense programmée;Dottrina difensiva pre-pianificata;Doctrina de la defensa preplaneada;Doktrin für vorausgeplante Verteidigung;Doktryna planowanej obrony;;Ïëàíèðîâàíèå îáîðîíû;;;x
TECH_APP_LD_13_DESC;;;;;;;;;;;x
TECH_CMP_LD_13_1_NAME;Multiple Bunker lines;Lignes pluri-bunkers;Linee di bunker multipli;Múltiples líneas de búnkers;Mehrfache Bunkerlinien;Linie umocnieñ;;Ñòðîèòåëüñòâî óêðåïðàéîíîâ;;;x
TECH_CMP_LD_13_2_NAME;Layered minefields;Champs de mines multidimensionnel;Campi minati stratificati;Campos minados superpuestos;Gestaffelte Minenfelder;Instalacje pól minowych;;Ìíîãîóðîâíåâûå ìèííûå ïîëÿ;;;x
TECH_CMP_LD_13_3_NAME;Strongpoint Mentality;Mentalité Point fort;Mentalità del caposaldo;Mentalidad del punto fortificado;Auf-eigene-Stärken-besinnen-Mentalität;Mentalnoœæ punktów umocnionych;;Ïñèõîëîãèÿ îïîðíûõ ïóíêòîâ;;;x
TECH_CMP_LD_13_4_NAME;Tunnel complex;Complexe de tunnels;Rete di tunnel;Complejo de túneles;Tunnelkomplex;System tuneli;;Ïîäçåìíûé êîìïëåêñ;;;x
TECH_CMP_LD_13_5_NAME;Local reserves;Réserves locales;Riserve locali;Reservas locales;Lokale Reserven;Rezerwy lokalne;;Ëîêàëüíûå ðåçåðâû;;;x
TECH_APP_LD_14_NAME;Central Planning Doctrine;Doctrine Planification centrale;Dottrina della pianificazione centrale;Doctrina de la planificación central;Zentralplanungsdoktrin;Doktryna centralnego planowania;;Öåíòðàëèçîâàííîå ïëàíèðîâàíèå;;;x
TECH_APP_LD_14_DESC;;;;;;;;;;;x
TECH_CMP_LD_14_1_NAME;Artillery divisions;Divisions d’artillerie;Divisioni di artiglieria;Divisiones de artillería;Artilleriedivisionen;Dywizje artyleryjskie;;Àðòèëëåðèéñêèå äèâèçèîíû;;;x
TECH_CMP_LD_14_2_NAME;Multiple attack directions;Attaque pluri-directionnelles;Direzione d'attacco multipla;Múltiples direcciones de ataque;Mehrfache Angriffsrichtungen;Atak w wielu kierunkach;;Ìíîæåñòâåííûå íàïðàâëåíèÿ àòàêè;;;x
TECH_CMP_LD_14_3_NAME;Advanced staff planning;Planification d’état major III;Pianificazione generale avanzata;Planificación avanzada del estado mayor;Fortschrittliche Stabsplanung;Zaawansowane planowanie sztabowe;;Óñîâåðø. ïëàíèðîâàíèå êîìàíäíîãî ñîñòàâà;;;x
TECH_CMP_LD_14_4_NAME;Centralized artillery control ;Conduite centralisée des tirs d’artillerie;Controllo centralizzato dell'artiglieria;Control centralizado de la artillería;Zentralisierte Artilleriekontrolle;Centralny nadzór nad artyleri¹;;Öåíòðàëèçîâàííûé êîíòðîëü àðòèëëåðèè;;;x
TECH_CMP_LD_14_5_NAME;Tactical unit - Company;Unité tactique - Compagnie;Unità tattica - Compagnia;Unidad táctica: Compañía;Kompanie als taktische Einheit;Jednostka taktyczna-kompania;;Òàêòè÷åñêàÿ åäèíèöà - ðîòà;;;x
TECH_APP_LD_15_NAME;Attritional Containment Doctrine;Doctrine endiguement et usure;Dottrina del contenimento di logoramento;Doctrina de la contención del desgaste;Eindämmungsabnutzungdoktrin;Doktryna oblê¿enia;;Èñòîùàþùåå ñäåðæèâàíèå;;;x
TECH_APP_LD_15_DESC;;;;;;;;;;;x
TECH_CMP_LD_15_1_NAME;Field fortification emphasis;Accent sur fortification de campagne;Enfasi sulle fortificazioni;Énfasis en la fortificación de campaña;Gebietsbefestigungsschwerpunkt;Podkreœlenie umocnieñ polowych;;Ïîëåâûå óêðåïëåíèÿ;;;x
TECH_CMP_LD_15_2_NAME;Operational reserves;Réserves opérationnelles;Riserve operative;Reservas operacionales;Einsatzbereite Reserven;Rezerwy operacyjne;;Îïåðàòèâíûå ðåçåðâû;;;x
TECH_CMP_LD_15_3_NAME;Large unit counterattacks;Contre-attaques grosses unités;Contrattacchi con unità grandi;Contraataques de grandes unidades;Gegenangriffe mit Großverbänden;Kontratak du¿ymi jednostkami;;Êîíòðíàñòóïëåíèå áîëüøèìè ïîäðàçäåëåíèÿìè;;;x
TECH_CMP_LD_15_4_NAME;Static Gun emplacements;Emplacements de pièces statiques;Postazioni fisse di cannoni;Asentamientos de cañones fijos;Statische Geschützstellungen;Stacjonarne rozmieszczenie karabinów;;Àðòèëëåðèéñêèå ãíåçäà;;;x
TECH_CMP_LD_15_5_NAME;Tactical unit - Company;Unité tactique - Compagnie;Unità tattica - Compagnia;Unidad táctica: Compañía;Kompanie als taktische Einheit;Jednostka taktyczna-kompania;;Òàêòè÷åñêàÿ åäèíèöà - ðîòà;;;x
TECH_APP_LD_16_NAME;Infiltration Assault Doctrine;Doctrine Assaut et Infiltration;Dottrina dell'assalto di infiltrazione;Doctrina del asalto de infiltración;Infiltrationsangriffsdoktrin;Doktryna ataku od wewn¹trz;;Ïðîíèêàþùèé øòóðì;;;x
TECH_APP_LD_16_DESC;;;;;;;;;;;x
TECH_CMP_LD_16_1_NAME;Night Attacks;Attaques de nuit;Attacchi notturni;Ataques nocturnos;Nachtangriffe;Ataki nocne;;Íî÷íàÿ àòàêà;;;x
TECH_CMP_LD_16_2_NAME;Dispersed Combat Elements;Éléments de combat dispersés;Elementi di combattimento dispersi;Elementos de combate dispersos;Verteilte Gefechtselemente;Walka w rozproszeniu;;Ðàññðåäîòî÷åíèå ïîäðàçäåëåíèé;;;x
TECH_CMP_LD_16_3_NAME;Staff: Terrain Assessment;État-major : Évaluation du terrain;Ufficiali: valutazione territoriale;Estado mayor: Evaluación del terreno;Geländebewertung durch den Stab;Sztab: ocena terenu;;Òîïîãðàôè÷åñêàÿ îöåíêà ìåñòíîñòè;;;x
TECH_CMP_LD_16_4_NAME;Hand-to-Hand combat focus;Accent sur combat corps à corps;Importanza degli scontri corpo a corpo;Concentración en el combate cuerpo a cuerpo;Nahkampffokus;Nacisk na walkê wrêcz;;Ðóêîïàøíûé áîé;;;x
TECH_CMP_LD_16_5_NAME;Platoon level night combat training;Instruction au combat de nuit pour peloton;Addestramento al combattimento notturno per plotone;Instrucción en combate nocturno a las secciones;Nachtkampftraining auf Zugebene;Trening nocnej walki plutonu;;Ïîâçâîäíûå êóðñû íî÷íîãî áîÿ;;;x
TECH_APP_LD_17_NAME;Operational Stages Doctrine;Doctrine Stade d’exécution;Dottrina delle fasi operative;Doctrina de fases operativas;Doktrin für operative Stufen;Doktryna faz operacji;;Îïåðàòèâíîå ïëàíèðîâàíèå;;;x
TECH_APP_LD_17_DESC;;;;;;;;;;;x
TECH_CMP_LD_17_1_NAME;Dedicated artillery;Artillerie spécifique;Artiglieria dedicata;Artillería dedicada;Engagierte Artillerie;Dedykowana artyleria;;Ïðèäàííàÿ àðòèëëåðèÿ;;;x
TECH_CMP_LD_17_2_NAME;Dedicated air support;Soutien aérien spécifique;Supporto aereo dedicato;Apoyo aéreo dedicado;Engagierte Luftunterstützung;Dedykowane wsparcie z powietrza;;Ïðèäàííàÿ àâèàöèÿ;;;x
TECH_CMP_LD_17_3_NAME;Secured Objectives Principle;Principes objectifs garantis;Principio degli obiettivi controllati;Principio de objetivos asegurados;Prinzip der gesicherten Kampfziele;Zasada realizowania celów misji (SOP);;Çàõâàò è êîíòðîëü ðóáåæåé;;;x
TECH_CMP_LD_17_4_NAME;Squad SOP;IPO escadron;Procedure operative standard di squadra;Pelotón de rutina;Standardoperationsanweisung für Trupps;Dru¿ynowy SOP;;Ñòàíäàðòíàÿ òàêòèêà îòäåëåíèé;;;x
TECH_CMP_LD_17_5_NAME;Tactical unit - Platoon;Unité tactique - Peloton;Unità tattica - Plotone;Unidad táctica: Sección;Zug als taktische Einheit;Jednostka taktyczna-pluton;;Òàêòè÷åñêàÿ åäèíèöà - âçâîä;;;x
TECH_APP_LD_18_NAME;Assault Breakthrough;Percée assaut;Assalto di sfondamento;Penetración por asalto;Durchbruchsangriff;Atak prze³amuj¹cy;;Òàêòèêà ïðîðûâà;;;x
TECH_APP_LD_18_DESC;;;;;;;;;;;x
TECH_CMP_LD_18_1_NAME;Low level field artillery;Artillerie de campagne 1er niveau;Artiglieria di campo di basso livello;Artillería de campaña de bajo nivel;Feldartillerie auf niedriger Stufe;Artyleria polowa niskiego szczebla;;Ïîëåâàÿ àðòèëëåðèÿ;;;x
TECH_CMP_LD_18_2_NAME;Penetration reserves;Réserves pénétration;Riserve di penetrazione;Reservas de penetración;Durchbruchsreserven;Rezerwy penetracyjne;;Ðåçåðâû äëÿ ïðîðûâà;;;x
TECH_CMP_LD_18_3_NAME;Areas of responsibility;Domaines de responsabilité;Aree di responsabilità;Áreas de responsabilidad;Verantwortungsbereich;Strefy odpowiedzialnoœci;;Çîíû îòâåòñòâåííîñòè;;;x
TECH_CMP_LD_18_4_NAME;Squad-level light machine guns;Mitrailleuses légères x4;Mitragliatrici leggere a livello di squadra;Pelotón con ametralladoras ligeras;Leichte Maschinengewehre auf Truppebene;Dru¿ynowe lekkie karabiny maszynowe;;Âîîðóæåíèå îòäåëåíèé ëåãêèìè ïóëåìåòàìè;;;x
TECH_CMP_LD_18_5_NAME;Squad SOP;IPO escadron;Procedure operative standard di squadra;Pelotón de rutina;Standardoperationsanweisung für Trupps;Dru¿ynowy SOP;;Ñòàíäàðòíàÿ òàêòèêà îòäåëåíèé;;;x
TECH_APP_LD_19_NAME;Infiltration in Depth;Infiltration en profondeur;Infiltrazione in profondità;Infiltración en profundidad;Tiefeninfiltration;G³êboka infiltracja;;Ãëóáèííîå ïðîíèêíîâåíèå;;;x
TECH_APP_LD_19_DESC;;;;;;;;;;;x
TECH_CMP_LD_19_1_NAME;Self-sustaining units;Unités autonomes;Unità autosufficienti;Unidades autosuficientes;Selbstversorgende Einheiten;Jednostki samowystarczalne;;Ñàìîñòîÿòåëüíûå ïîäðàçäåëåíèÿ;;;x
TECH_CMP_LD_19_2_NAME;Isolated Combat Elements;Éléments de combat isolés;Elementi di combattimento isolati;Elementos de combate aislados;Isolierte Gefechtselemente;Walka pojedynczo;;Èçîëèðîâàííûå ïîäðàçäåëåíèÿ;;;x
TECH_CMP_LD_19_3_NAME;Mobile command posts;Postes de commandement mobiles;Posti di comando mobili;Puestos de mando móviles;Mobile Kommandoposten;Mobilne punkty dowodzenia;;Ìîáèëüíûå êîìàíäíûå ïóíêòû;;;x
TECH_CMP_LD_19_4_NAME;Do-or-die Mentality;Mentalité Agir ou mourir;Mentalità del rischio totale;Mentalidad 'hacerlo o morir';Kämpfen-oder-untergehen-Mentalität;Mentalnoœæ dzia³añ za wszelk¹ cenê;;Ïñèõîëîãèÿ 'âûïîëíèòü çàäà÷ó';;;x
TECH_CMP_LD_19_5_NAME;Infantry assault tactics;Tactiques d’assaut infanterie;Tattica di assalto di fanteria;Tácticas de asalto de infantería;Infanterieangriffstaktik;Taktyka ataku piechoty;;Íàñòóïàòåëüíàÿ òàêòèêà ïåõîòû;;;x
TECH_APP_LD_20_NAME;Branch Interoperability;Interopérabilité de branche;Interoperabilità settoriale;Interoperatividad departamental;Zusammenarbeitsfähigkeit von Abteilungen;Wspó³praca miêdzyoddzia³owa;;Âçàèìîäåéñòâèå ðîäîâ âîéñê;;;x
TECH_APP_LD_20_DESC;;;;;;;;;;;x
TECH_CMP_LD_20_1_NAME;Combined arms operations;Opérations armées combinées;Operazioni delle forze armate combinate;Operaciones combinadas;Operationen kombinierter Waffengattungen;Wspólne operacje wojsk;;Îáùåâîéñêîâûå îïåðàöèè;;;x
TECH_CMP_LD_20_2_NAME;Long-Range Reconnaissance;Reconnaissance lointaine;Ricognizione di lungo raggio;Reconocimiento de larga distancia;Langstreckenaufklärung;Daleki zwiad;;Ðàçâåäêà äàëüíåãî äåéñòâèÿ;;;x
TECH_CMP_LD_20_3_NAME;Forward command posts;Postes de commandement avancés;Posti di comando avanzati;Puestos de mando avanzados;Vorgeschobene Kommandoposten;Polowe stanowiska dowodzenia;;Ïåðåäîâûå êîìàíäíûå ïóíêòû;;;x
TECH_CMP_LD_20_4_NAME;Fire direction centers;Centres de conduite de tir;Centri di direzione del tiro;Puesto de dirección del tiro;Feuerleitzentralen;Oœrodki kierowania ogniem;;Öåíòðû óïðàâëåíèÿ îãíåì;;;x
TECH_CMP_LD_20_5_NAME;Tactical unit - squad;Unité tactique - Escadron;Unità tattica - Squadra;Unidad táctica: Pelotón;Trupp als taktische Einheit;Jednostka taktyczna-dru¿yna;;Òàêòè÷åñêàÿ åäèíèöà - îòäåëåíèå;;;x
TECH_APP_LD_21_NAME;Mobility Focus Doctrine;Doctrine Accent sur la mobilité;Dottrina dell'importanza della mobilità;Doctrina de concentración en la movilidad;Mobilitätsfokusdoktrin;Doktryna nacisku na mobilnoœæ;;Ñòàâêà íà ìîáèëüíîñòü;;;x
TECH_APP_LD_21_DESC;;;;;;;;;;;x
TECH_CMP_LD_21_1_NAME;Motorized Reconnaissance;Reconnaissance motorisée;Ricognizione motorizzata;Reconocimiento motorizado;Motorisierte Aufklärung;Zwiad zmotoryzowany;;Ìîòîðèçèðîâàííàÿ ðàçâåäêà;;;x
TECH_CMP_LD_21_2_NAME;Basic infiltration tactics;Tactiques d’infiltration I;Tattica di infiltrazione di base;Tácticas básicas de infiltración;Einfache Infiltrationstaktik;Podstawowa taktyka infiltracji;;Áàçîâàÿ òàêòèêà ïðîíèêíîâåíèÿ;;;x
TECH_CMP_LD_21_3_NAME;Shock tactics;Tactiques de choc;Tattica di impatto;Tácticas de choque;Schocktaktik;Taktyka szokowa;;Òàêòèêà ñîêðóøèòåëüíûõ óäàðîâ;;;x
TECH_CMP_LD_21_4_NAME;NCO responsibility;Responsabilité s/off;Responsabilità sottufficiali;Responsabilidad de suboficial;Verantwortung des Unteroffiziers;Odpowiedzialnoœæ podoficerów;;Îòâåòñòâåííîñòü ñåðæàíòñêîãî ñîñòàâà;;;x
TECH_CMP_LD_21_5_NAME;Maneuver discipline;Discipline de manœuvres;Disciplina di manovra;Disciplina de maniobra;Manöverdisziplin;Dyscyplina manewrów;;Êîîðäèíàöèÿ ìàíåâðîâ;;;x
TECH_APP_LD_22_NAME;Spearhead Doctrine;Doctrine du fer de lance blindé;Dottrina della punta di diamante;Doctrina de punta de ataque;Speerspitzendoktrin;Doktryna ataków jednostek przednich;;Êîíöåïöèÿ ïåðåäîâûõ îòðÿäîâ;;;x
TECH_APP_LD_22_DESC;;;;;;;;;;;x
TECH_CMP_LD_22_1_NAME;Assault detachments;Détachement d’offensive;Distaccamenti d'assalto;Destacamentos de asalto;Angriffsabteilungen;Samodzielne grupy bojowe;;Øòóðìîâûå ïîäðàçäåëåíèÿ;;;x
TECH_CMP_LD_22_2_NAME;Tactical Reconnassaince;Reconnaissance tactique;Ricognizione tattica;Reconocimiento táctico;Taktische Aufklärung;Rozpoznanie taktyczne;;Òàêòè÷åñêàÿ ðàçâåäêà;;;x
TECH_CMP_LD_22_3_NAME;Tactical unit - Platoon;Unité tactique - Peloton;Unità tattica - Plotone;Unidad táctica: Sección;Zug als taktische Einheit;Jednostka taktyczna-pluton;;Òàêòè÷åñêàÿ åäèíèöà - âçâîä;;;x
TECH_CMP_LD_22_4_NAME;Infiltration to line of departure;Infiltration sur ligne de départ;Infiltrazione sulla linea di avvio;Infiltración hasta la línea de salida;Infiltration bis zur Ablauflinie;Infiltracja do linii odlotów;;Ïðîíèêíîâåíèå íà èñõîäíûå ðóáåæè;;;x
TECH_CMP_LD_22_5_NAME;Officer training - Bad Toelz method;Instruction officier – méthode Bad Toelz;Addestramento ufficiale - Metodo Bad Toelz;Instrucción de oficiales: método de Bad Toelz;Offiziersausbildung nach Bad-Tölz-Methode;Szkolenie oficerów-metoda Bad Toelz;;Ïîäãîòîâêà êîìàíä.ñîñòàâà - ìåòîä Áàä Òîëüöà;;;x
TECH_APP_LD_23_NAME;Delay Doctrine;Doctrine de délai;Dottrina del ritardo;Doctrina del retardo;Verzögerungsdoktrin;Doktryna spowalniania;;Ñäåðæèâàíèå;;;x
TECH_APP_LD_23_DESC;;;;;;;;;;;x
TECH_CMP_LD_23_1_NAME;Mobile Operational Deployments;Déploiements opérationnels mobiles;Dispiegamenti operativi mobili;Despliegues operativos móviles;Mobile operative Aufmärsche;Elastyczna dyslokacja operacyjna;;Îïåðàòèâíàÿ ïåðåäèñëîêàöèÿ;;;x
TECH_CMP_LD_23_2_NAME;Local Reserves;Réserves locales;Riserve locali;Reservas locales;Lokale Reserven;Rezerwy lokalne;;Ëîêàëüíûå ðåçåðâû;;;x
TECH_CMP_LD_23_3_NAME;Reverse-slope defence emphasis;Accent sur défense en contre-pente;Enfasi sulla difesa inversa;Énfasis en la defensa en contrapendiente;Verteidigungsschwerpunkt am Gegenhang;Podkreœlenie obrony za wzgórzami;;Îáîðîíà âîçâûøåííûõ ó÷àñòêîâ;;;x
TECH_CMP_LD_23_4_NAME;Multiple pre-planned artillery targets;Cibles d’artillerie multiples programmées;Bersagli di artiglieria multipli pre-pianificati;Objetivos múltiples de artillería preplaneados;Mehrfache vorausgeplante Artillerieziele;Wyznaczanie wielu celów artyleryjskich;;Ïëàíèðîâàíèå ìíîæåñòâåííûõ öåëåé àðòîáñòðåëà;;;x
TECH_CMP_LD_23_5_NAME;Emphasis on NCO initiative;Accent sur initiative s/off;Enfasi sull'iniziativa dei sottufficiali;Énfasis en la iniciativa de los suboficiales;Schwerpunkt auf Unteroffizierseinsatz;Podkreœlenie inicjatywy podoficerów;;Ïîîùðÿåìàÿ èíèöèàòèâà ñåðæàíòñêîãî ñîñòàâà;;;x
TECH_APP_LD_24_NAME;Elastic Defense Doctrine;Doctrine de la défense flexible;Dottrina della difesa elastica;Doctrina de la defensa elástica;Doktrin für elastische Verteidigungs;Doktryna elastycznej obrony;;Ãèáêàÿ îáîðîíà;;;x
TECH_APP_LD_24_DESC;;;;;;;;;;;x
TECH_CMP_LD_24_1_NAME;Mobile reserves;Réserves mobiles;Riserve mobili;Reservas móviles;Mobile Reserven;Mobilne rezerwy;;Ìîáèëüíûå ðåçåðâû;;;x
TECH_CMP_LD_24_2_NAME;Local counterattacks;Contre-attaques locales;Contrattacchi locali;Contraataques locales;Lokale Gegenangriffe;Lokalne kontrataki;;Ëîêàëüíûå êîíòðàòàêè;;;x
TECH_CMP_LD_24_3_NAME;Local commands;Commandes locales;Comandi locali;Mandos locales;Lokale Kommandos;Lokalne dowodzenie;;Ëîêàëüíîå êîìàíäîâàíèå;;;x
TECH_CMP_LD_24_4_NAME;Nuisance minefields;Champs de mines de harcèlement;Campi minati offensivi;Campos de mina engorrosos;Versteckte Minenfelder;Przeszkadzaj¹ce pola minowe;;Îòâëåêàþùåå ìèííîå ïîëå;;;x
TECH_CMP_LD_24_5_NAME;Infantry anti-tank tactics;Tactiques d’infanterie antichars;Tattica anticarro di fanteria;Tácticas de infantería anticarro;Panzerabwehrtaktik für Infanterie;Taktyka przeciwpancerna piechoty;;Ïðîòèâîòàíêîâàÿ òàêòèêà ïåõîòû;;;x
TECH_APP_LD_25_NAME;Schwerpunkt Doctrine;Doctrine de schwerpunkt;Dottrina Schwerpunkt;Doctrina del 'Schwerpunkt';Schwerpunktdoktrin;Doktryna Schwerpunkt;;Êîíöåïöèÿ ãëàâíîãî óäàðà;;;x
TECH_APP_LD_25_DESC;;;;;;;;;;;x
TECH_CMP_LD_25_1_NAME;Decentralized field artillery;Artillerie de campagne décentralisée;Artiglieria da campo decentralizzata;Artillería de campaña descentralizada;Dezentralisierte Feldartillerie;Zdecentralizowana artyleria polowa;;Äåöåíòðàëèçîâàííàÿ ïîëåâàÿ àðòèëëåðèÿ;;;x
TECH_CMP_LD_25_2_NAME;Mobile Forward Elements;Éléments avancés mobiles;Elementi avanzati mobili;Elementos avanzados móviles;Mobile vorgeschobene Elemente;Mobilne jednostki frontowe;;Ìîáèëüíûå ïåðåäîâûå ïîäðàçäåëåíèÿ;;;x
TECH_CMP_LD_25_3_NAME;Tactical unit - Squad;Unité tactique - Escadron;Unità tattica - Squadra;Unidad táctica: Pelotón;Trupp als Taktische Einheit;Jednostka taktyczna-dru¿yna;;Òàêòè÷åñêàÿ åäèíèöà - îòäåëåíèå;;;x
TECH_CMP_LD_25_4_NAME;Screening Minefields;Champs de mines masquant;Campi minati di protezione;Encubrimiento de campos de minas;Abschirmungsminenfelder;Os³aniaj¹ce pola minowe;;Çàãðàäèòåëüíûå ìèííûå ïîëÿ;;;x
TECH_CMP_LD_25_5_NAME;Squad-level light machine guns;Mitrailleuses légères x4;Mitragliatrici leggere a livello di squadra;Pelotón con ametralladoras ligeras;Leichte Maschinengewehre auf Truppebene;Dru¿ynowe lekkie karabiny maszynowe;;Âîîðóæåíèå îòäåëåíèé ëåãêèìè ïóëåìåòàìè;;;x
